sample_id	cohort	batch_date	declared_role	current_use_role	sex_call	truth_event_count	truth_source	reference_label	negative_bank_label	included_in_current_ref	allowed_use	forbidden_use	status	source_document	notes
E2	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XY	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E3	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XY	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E4	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XY	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E5	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XY	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E6	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XY	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E9	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E10	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E11	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E12	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E13	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E14	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E15	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E16	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
F	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XY	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
G	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XY	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
Y1	Y1_Y8_positive_truth	locked_y_truth_panel	positive_truth	truth_benchmark	XY	1	sample_info/positive_truth_events.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv	truth_note=45_XY_minus_21
Y2	Y1_Y8_positive_truth	locked_y_truth_panel	positive_truth	truth_benchmark	XX	2	sample_info/positive_truth_events.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv	truth_note=48_XX_plus_14_plus_21
Y3	Y1_Y8_positive_truth	locked_y_truth_panel	positive_truth	truth_benchmark	XX	1	sample_info/positive_truth_events.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv	truth_note=45_XO;pipeline_sex_call=XX
Y4	Y1_Y8_positive_truth	locked_y_truth_panel	positive_truth	truth_benchmark	XX	1	sample_info/positive_truth_events.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv	truth_note=47_XX_plus_13
Y5	Y1_Y8_positive_truth	locked_y_truth_panel	positive_truth	truth_benchmark	XX	1	sample_info/positive_truth_events.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv	truth_note=15q11.2q13.1_del
Y6	Y1_Y8_positive_truth	locked_y_truth_panel	positive_truth	truth_benchmark	XY	2	sample_info/positive_truth_events.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv	truth_note=chr7_loss_and_gain
Y7	Y1_Y8_positive_truth	locked_y_truth_panel	positive_truth	truth_benchmark	XX	1	sample_info/positive_truth_events.tsv;sample_info/mosaic_fraction_validation_y7_y8.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail;mosaic_fraction_context	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv;sample_info/mosaic_fraction_validation_y7_y8.tsv	truth_note=8p23.3p23.1_del
Y8	Y1_Y8_positive_truth	locked_y_truth_panel	positive_truth	truth_benchmark	XY	1	sample_info/positive_truth_events.tsv;sample_info/mosaic_fraction_validation_y7_y8.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail;mosaic_fraction_context	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv;sample_info/mosaic_fraction_validation_y7_y8.tsv	truth_note=13q11q12.11_dup
H1	H1_H6_positive_truth	2026-06-08	positive_truth	truth_benchmark	XY	1	sample_info/positive_truth_events.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv	truth_note=47_XY_plus_16
H2	H1_H6_positive_truth	2026-06-08	positive_truth	truth_benchmark	XY	1	sample_info/positive_truth_events.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv	truth_note=6p25.3q27_mosaic_gain
H3	H1_H6_positive_truth	2026-06-08	positive_truth	truth_benchmark	XX	1	sample_info/positive_truth_events.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv	truth_note=13q11q34_mosaic_gain
H4	H1_H6_positive_truth	2026-06-08	positive_truth	truth_benchmark	XX	2	sample_info/positive_truth_events.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv	truth_note=48_XX_plus_15_plus_21
H5	H1_H6_positive_truth	2026-06-08	positive_truth	truth_benchmark	XX	3	sample_info/positive_truth_events.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv	truth_note=chrX_loss_segments
H6	H1_H6_positive_truth	2026-06-08	positive_truth	truth_benchmark	XX	2	sample_info/positive_truth_events.tsv	NA	NA	no	truth_benchmark;no_fn_guardrail;weak_truth_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth	sample_info/positive_truth_events.tsv	truth_note=XO_chrX_loss_and_chr21_focal_gain
H7	H7_H16_presumed_negative	2026-06-08	presumed_negative	burden_context_only	XY	0	none	R1	N2	no	shadow_ablation_review;burden_context	formal_N0;production_reference;hard_negative_background	reference_review_excluded_not_N0	docs/reports/h7_h16_reference_cohort_decision_2026-06-20.tsv;docs/reports/branch_ab_v2_negative_bank_seed_2026-06-18.tsv	altered_genome_fraction_review;not_primary_shadow_ref
H8	H7_H16_presumed_negative	2026-06-08	presumed_negative	burden_context_only	XY	0	none	R1	N2	no	shadow_ablation_review;burden_context	formal_N0;production_reference;hard_negative_background	reference_review_excluded_not_N0	docs/reports/h7_h16_reference_cohort_decision_2026-06-20.tsv;docs/reports/branch_ab_v2_negative_bank_seed_2026-06-18.tsv	retained_review_event;not_primary_shadow_ref
H9	H7_H16_presumed_negative	2026-06-08	presumed_negative	shadow_reference_candidate	XY	0	none	R0	N1	yes	P2_Branch_A_no_FN_validation;shadow_reference_candidate	formal_N0;production_reference;hard_negative_background	shadow_ref_included_not_N0	docs/reports/h7_h16_reference_cohort_decision_2026-06-20.tsv;docs/reports/branch_ab_v2_negative_bank_seed_2026-06-18.tsv	R0_reference_eligibility_only_not_N0
H10	H7_H16_presumed_negative	2026-06-08	presumed_negative	shadow_reference_candidate	XY	0	none	R0	N1	yes	P2_Branch_A_no_FN_validation;shadow_reference_candidate	formal_N0;production_reference;hard_negative_background	shadow_ref_included_not_N0	docs/reports/h7_h16_reference_cohort_decision_2026-06-20.tsv;docs/reports/branch_ab_v2_negative_bank_seed_2026-06-18.tsv	R0_reference_eligibility_only_not_N0
H11	H7_H16_presumed_negative	2026-06-08	presumed_negative	shadow_reference_candidate	XY	0	none	R0	N1	yes	P2_Branch_A_no_FN_validation;shadow_reference_candidate	formal_N0;production_reference;hard_negative_background	shadow_ref_included_not_N0	docs/reports/h7_h16_reference_cohort_decision_2026-06-20.tsv;docs/reports/branch_ab_v2_negative_bank_seed_2026-06-18.tsv	R0_reference_eligibility_only_not_N0
H12	H7_H16_presumed_negative	2026-06-08	presumed_negative	shadow_reference_candidate	XY	0	none	R0	N1	yes	P2_Branch_A_no_FN_validation;shadow_reference_candidate	formal_N0;production_reference;hard_negative_background	shadow_ref_included_not_N0	docs/reports/h7_h16_reference_cohort_decision_2026-06-20.tsv;docs/reports/branch_ab_v2_negative_bank_seed_2026-06-18.tsv	R0_reference_eligibility_only_not_N0
H13	H7_H16_presumed_negative	2026-06-08	presumed_negative	burden_context_only	XY	0	none	R1	N2	no	shadow_ablation_review;burden_context	formal_N0;production_reference;hard_negative_background	reference_review_excluded_not_N0	docs/reports/h7_h16_reference_cohort_decision_2026-06-20.tsv;docs/reports/branch_ab_v2_negative_bank_seed_2026-06-18.tsv	strongest_R1_exclusion_signal;not_primary_shadow_ref
H14	H7_H16_presumed_negative	2026-06-08	presumed_negative	burden_context_only	XY	0	none	R1	N2	no	shadow_ablation_review;burden_context	formal_N0;production_reference;hard_negative_background	reference_review_excluded_not_N0	docs/reports/h7_h16_reference_cohort_decision_2026-06-20.tsv;docs/reports/branch_ab_v2_negative_bank_seed_2026-06-18.tsv	altered_genome_fraction_review;not_primary_shadow_ref
H15	H7_H16_presumed_negative	2026-06-08	presumed_negative	shadow_reference_candidate	XY	0	none	R0	N1	yes	P2_Branch_A_no_FN_validation;shadow_reference_candidate	formal_N0;production_reference;hard_negative_background	shadow_ref_included_not_N0	docs/reports/h7_h16_reference_cohort_decision_2026-06-20.tsv;docs/reports/branch_ab_v2_negative_bank_seed_2026-06-18.tsv	R0_reference_eligibility_only_not_N0
H16	H7_H16_presumed_negative	2026-06-08	presumed_negative	shadow_reference_candidate	XY	0	none	R0	N1	yes	P2_Branch_A_no_FN_validation;shadow_reference_candidate	formal_N0;production_reference;hard_negative_background	shadow_ref_included_not_N0	docs/reports/h7_h16_reference_cohort_decision_2026-06-20.tsv;docs/reports/branch_ab_v2_negative_bank_seed_2026-06-18.tsv	R0_reference_eligibility_only_not_N0
G1	G1_G8_positive_truth	2026-04-28	positive_truth	truth_benchmark	XX	1	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth_report_only_pending_tsv	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	machine_readable_truth_tsv_missing;truth_event=chr18_gain
G2	G1_G8_positive_truth	2026-04-28	positive_truth	truth_benchmark	XY	2	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	NA	NA	no	truth_benchmark;no_fn_guardrail;weak_internal_review_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth_report_only_pending_tsv	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	machine_readable_truth_tsv_missing;truth_events=chr8_gain_and_chr11_loss
G3	G1_G8_positive_truth	2026-04-28	positive_truth	truth_benchmark	XX	2	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	NA	NA	no	truth_benchmark;no_fn_guardrail;sca_truth_context	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth_report_only_pending_tsv	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	machine_readable_truth_tsv_missing;truth_events=chr16_gain_and_chrX_loss
G4	G1_G8_positive_truth	2026-04-28	positive_truth	truth_benchmark	XX	1	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth_report_only_pending_tsv	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	machine_readable_truth_tsv_missing;truth_event=chr5_loss
G5	G1_G8_positive_truth	2026-04-28	positive_truth	truth_benchmark	XX	1	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	NA	NA	no	truth_benchmark;no_fn_guardrail;sca_truth_context	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth_report_only_pending_tsv	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	machine_readable_truth_tsv_missing;truth_event=chrX_mosaic_loss
G6	G1_G8_positive_truth	2026-04-28	positive_truth	truth_benchmark	XY	1	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth_report_only_pending_tsv	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	machine_readable_truth_tsv_missing;truth_event=chr9_gain
G7	G1_G8_positive_truth	2026-04-28	positive_truth	truth_benchmark	XX	1	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth_report_only_pending_tsv	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	machine_readable_truth_tsv_missing;truth_event=chr22_gain
G8	G1_G8_positive_truth	2026-04-28	positive_truth	truth_benchmark	XY	1	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	NA	NA	no	truth_benchmark;no_fn_guardrail	reference_negative;formal_N0;threshold_derivation_without_ablation	locked_truth_report_only_pending_tsv	docs/reports/branch_b_v2_g1_g8_validation_2026-06-21.md	machine_readable_truth_tsv_missing;truth_event=chr16_mosaic_gain
JZ26125843-56-56	2026-06-15_context	2026-06-15	presumed_negative	burden_context_only	XX	0	none	NA	NA	no	burden_context;plot_review;sample_quality_review	TP_FN_FP_claims;threshold_derivation;reference_negative_without_gate	no_locked_truth_context	docs/reports/0615_high_confidence_report_candidates_2026-06-22.md;docs/reports/predict_bam_and_sample_reportability_qc_2026-06-23.md	user_reviewed_as_negative_context;no_locked_truth
JZ26125844-59-59	2026-06-15_context	2026-06-15	presumed_negative	burden_context_only	XX	0	none	NA	NA	no	burden_context;plot_review;sample_quality_review	TP_FN_FP_claims;threshold_derivation;reference_negative_without_gate	no_locked_truth_context	docs/reports/0615_high_confidence_report_candidates_2026-06-22.md;docs/reports/predict_bam_and_sample_reportability_qc_2026-06-23.md	user_reviewed_as_negative_context;no_locked_truth
JZ26125845-60-60	2026-06-15_context	2026-06-15	context_unknown	burden_context_only	XY	0	none	NA	NA	no	burden_context;plot_review;sample_quality_review	TP_FN_FP_claims;threshold_derivation;reference_negative_without_gate	no_locked_truth_context	docs/reports/0615_high_confidence_report_candidates_2026-06-22.md;docs/reports/predict_bam_and_sample_reportability_qc_2026-06-23.md	user_reviewed_partial_positive_regions_not_locked_truth;sample_quality_review
JZ26125846-61-61	2026-06-15_context	2026-06-15	presumed_negative	burden_context_only	XY	0	none	NA	NA	no	burden_context;plot_review;sample_quality_review	TP_FN_FP_claims;threshold_derivation;reference_negative_without_gate	no_locked_truth_context	docs/reports/0615_high_confidence_report_candidates_2026-06-22.md;docs/reports/predict_bam_and_sample_reportability_qc_2026-06-23.md	user_reviewed_as_negative_context;no_locked_truth
JZ26125847-62-62	2026-06-15_context	2026-06-15	presumed_negative	burden_context_only	XY	0	none	NA	NA	no	burden_context;plot_review;sample_quality_review	TP_FN_FP_claims;threshold_derivation;reference_negative_without_gate	no_locked_truth_context	docs/reports/0615_high_confidence_report_candidates_2026-06-22.md;docs/reports/predict_bam_and_sample_reportability_qc_2026-06-23.md	user_reviewed_as_negative_context;no_locked_truth
